Title,As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,year
Christmas on the Square,2020-11-23,8,-,-,Christmas on the Square,Movie,Yes,2020-11-22,1,3,2020
Cloudy with a Chance of Mea…,2020-11-26,9,7,4,Cloudy with a Chance of Mea…,Movie,No,2020-11-15,10,58,2020
Clueless,2020-06-06,10,7,-,Clueless,Movie,No,2014-01-01,4,11,2020
Code 8,2020-04-20,9,8,2,Code 8,Movie,No,2020-04-11,9,51,2020
Coffee & Kareem,2020-04-11,8,7,5,Coffee & Kareem,Movie,Yes,2020-04-03,8,51,2020
Colombiana,2020-10-09,10,9,-,Colombiana,Movie,No,2020-10-04,4,9,2020
Concrete Cowboy,2021-04-12,10,8,2,Concrete Cowboy,Movie,Yes,2021-04-02,10,60,2021
Cut Throat City,2021-01-25,6,5,-,Cut Throat City,Movie,No,2021-01-20,4,25,2021
Cuties,2020-09-16,7,7,-,Cuties,Movie,Yes,2020-09-09,5,18,2020
Da 5 Bloods,2020-06-19,7,4,-,Da 5 Bloods,Movie,Yes,2020-06-12,7,55,2020
Dangerous Lies,2020-05-08,9,6,2,Dangerous Lies,Movie,Yes,2020-04-30,8,62,2020
Dark Shadows,2022-01-05,10,-,-,Dark Shadows,Movie,No,2022-01-01,1,1,2022
Dead Man Down,2021-05-14,10,9,-,Dead Man Down,Movie,No,2013-11-06,6,22,2021
Deadly Illusions,2021-03-28,6,5,2,Deadly Illusions,Movie,Yes,2021-03-18,10,82,2021
Death to 2020,2021-01-04,9,7,6,Death to 2020,Movie,Yes,2020-12-27,8,50,2021
Death to 2021,2021-12-31,10,7,-,Death to 2021,Movie,Yes,2021-12-27,4,13,2021
Den of Thieves,2020-05-11,8,7,7,Den of Thieves,Movie,No,2020-05-01,9,31,2020
Dennis the Menace,2020-08-14,10,8,5,Dennis the Menace,Movie,No,2020-08-01,9,25,2020
Desperados,2020-07-14,10,10,4,Desperados,Movie,Yes,2020-07-03,11,48,2020
Despicable Me,2022-02-11,10,10,-,Despicable Me,Movie,No,2020-04-16,13,78,2022
Despicable Me 2,2022-03-01,8,9,9,Despicable Me 2,Movie,No,2022-02-01,27,88,2022
Django Unchained,2020-04-30,9,10,-,Django Unchained,Movie,No,2014-10-25,5,8,2020
Dog Gone Trouble,2021-06-11,9,8,3,Dog Gone Trouble,Movie,Yes,2021-05-28,14,91,2021
Donât Look Up,2022-01-19,10,9,5,Donât Look Up,Movie,Yes,2021-12-24,26,189,2022
Double Jeopardy,2020-07-07,10,10,-,Double Jeopardy,Movie,No,2016-06-01,2,2,2020
Dr. Seussâ The Lorax,2020-07-24,7,10,5,Dr. Seussâ The Lorax,Movie,No,2020-07-07,17,92,2020
Drunk Parents,2020-08-27,9,5,10,Drunk Parents,Movie,No,2020-08-17,8,43,2020
Due Date,2020-09-10,8,6,4,Due Date,Movie,No,2020-09-01,9,48,2020
Easy A,2020-11-10,8,8,-,Easy A,Movie,No,2020-11-01,6,21,2020
Enola Holmes,2020-10-05,7,6,2,Enola Holmes,Movie,Yes,2020-09-23,12,93,2020
Eurovision Song Contest: Th…,2020-07-04,9,8,2,Eurovision Song Contest: Th…,Movie,Yes,2020-06-26,8,58,2020
Extraction,2020-05-11,7,9,6,Extraction,Movie,Yes,2020-04-24,14,97,2020
Fatal Affair,2020-07-24,10,5,1,Fatal Affair,Movie,Yes,2020-07-16,8,61,2020
Fatherhood,2021-07-06,10,8,5,Fatherhood,Movie,Yes,2021-06-18,18,129,2021
Fear Street Part 1: 1994,2021-07-15,10,9,6,Fear Street Part 1: 1994,Movie,Yes,2021-07-02,13,64,2021
Fear Street Part 2: 1978,2021-07-16,10,8,-,Fear Street Part 2: 1978,Movie,Yes,2021-07-09,7,34,2021
Fear Street Part 3: 1666,2021-07-19,7,4,-,Fear Street Part 3: 1666,Movie,Yes,2021-07-16,3,19,2021
Feel the Beat,2020-07-01,7,8,5,Feel the Beat,Movie,Yes,2020-06-19,12,58,2020
Finding âOhana,2021-02-07,6,8,2,Finding âOhana,Movie,Yes,2021-01-29,9,57,2021
