Title,As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,year
The Kissing Booth 3,2021-08-21,10,8,1,The Kissing Booth 3,Movie,Yes,2021-08-11,9,60,2021
The Last Blockbuster,2021-03-22,10,10,-,The Last Blockbuster,Movie,No,2021-03-15,5,6,2021
The Last Days of American C…,2020-06-11,10,7,-,The Last Days of American C…,Movie,Yes,2020-06-05,6,31,2020
The Last Letter From Your L…,2021-07-29,10,7,-,The Last Letter From Your L…,Movie,Yes,2021-07-23,5,23,2021
The Life Ahead,2020-11-16,7,9,-,The Life Ahead,Movie,Yes,2020-11-13,2,6,2020
The Little Rascals,2021-04-18,8,-,4,The Little Rascals,Movie,No,2021-04-02,7,31,2021
The Longest Yard,2022-01-12,10,9,9,The Longest Yard,Movie,No,2015-04-01,8,26,2022
The Losers,2021-08-09,9,9,3,The Losers,Movie,No,2021-08-01,8,39,2021
The Lost Daughter,2022-01-05,8,8,-,The Lost Daughter,Movie,Yes,2021-12-31,5,26,2022
The Lost Husband,2020-08-21,9,7,1,The Lost Husband,Movie,No,2020-08-10,11,80,2020
The Loud House Movie,2021-08-30,8,7,2,The Loud House Movie,Movie,Yes,2021-08-20,10,68,2021
The Lovebirds,2020-05-28,10,8,-,The Lovebirds,Movie,Yes,2020-05-22,6,35,2020
The Lucky One,2022-02-03,10,-,-,The Lucky One,Movie,No,2022-02-01,1,1,2022
The Main Event,2020-04-15,9,8,-,The Main Event,Movie,Yes,2020-04-10,3,6,2020
The Midnight Sky,2021-01-02,6,5,1,The Midnight Sky,Movie,Yes,2020-12-23,10,82,2021
The Mitchells vs. The Machines,2021-05-31,9,9,6,The Mitchells vs. The Machines,Movie,Yes,2021-04-30,31,204,2021
The Next Three Days,2021-02-03,9,6,2,The Next Three Days,Movie,No,2021-01-22,9,60,2021
The Nut Job,2020-07-01,8,7,3,The Nut Job,Movie,No,2014-08-13,11,58,2020
The Old Guard,2020-07-27,8,9,3,The Old Guard,Movie,Yes,2020-07-10,14,108,2020
The Outpost,2020-10-07,9,7,-,The Outpost,Movie,No,2020-10-01,6,34,2020
The Paramedic,2020-09-18,7,9,-,The Paramedic,Movie,Yes,2020-09-16,2,6,2020
The Platform,2020-04-02,9,5,4,The Platform,Movie,Yes,2020-03-20,10,57,2020
The Players Club,2020-04-04,10,8,-,The Players Club,Movie,No,2020-04-01,2,4,2020
The Power of the Dog,2021-12-09,10,7,3,The Power of the Dog,Movie,Yes,2021-12-01,8,45,2021
The Princess Switch 3: Roma…,2021-11-22,8,7,-,The Princess Switch 3: Roma…,Movie,Yes,2021-11-18,5,27,2021
The Princess Switch: Switch…,2020-11-25,9,4,-,The Princess Switch: Switch…,Movie,Yes,2020-11-19,6,42,2020
The Prom,2020-12-16,10,6,-,The Prom,Movie,Yes,2020-12-11,5,30,2020
The Roommate,2020-04-06,9,8,-,The Roommate,Movie,No,2020-04-01,5,18,2020
The Royal Treatment,2022-01-28,7,4,3,The Royal Treatment,Movie,Yes,2022-01-20,8,54,2022
The Secret Life of Pets 2,2021-03-28,9,-,-,The Secret Life of Pets 2,Movie,No,2019-12-27,1,2,2021
The Shack,2021-12-21,9,7,2,The Shack,Movie,No,2021-12-10,10,68,2021
The Sleepover,2020-08-27,10,7,-,The Sleepover,Movie,Yes,2020-08-21,6,29,2020
The Smurfs,2020-09-11,10,6,2,The Smurfs,Movie,No,2020-09-01,10,66,2020
The Smurfs 2,2020-09-28,9,6,4,The Smurfs 2,Movie,No,2020-09-15,12,74,2020
The Social Dilemma,2020-09-23,9,9,4,The Social Dilemma,Movie,Yes,2020-09-09,13,53,2020
The Stand-In,2021-04-14,7,6,-,The Stand-In,Movie,No,2021-04-10,2,9,2021
The Starling,2021-10-01,8,4,-,The Starling,Movie,Yes,2021-09-24,7,47,2021
The Take,2020-09-28,8,5,2,The Take,Movie,No,2020-09-16,11,66,2020
The Tinder Swindler,2022-02-17,10,6,4,The Tinder Swindler,Movie,Yes,2022-02-02,15,71,2022
The Town,2022-01-11,10,10,-,The Town,Movie,No,2020-07-01,15,40,2022
The Trial of the Chicago 7,2020-10-21,8,5,-,The Trial of the Chicago 7,Movie,Yes,2020-10-16,5,32,2020
The Twilight Saga: Breaking…,2021-07-28,10,8,7,The Twilight Saga: Breaking…,Movie,No,2021-07-16,9,30,2021
The Twilight Saga: Eclipse,2021-07-27,10,-,7,The Twilight Saga: Eclipse,Movie,No,2021-07-16,7,17,2021
The Twilight Saga: New Moon,2021-07-27,9,10,6,The Twilight Saga: New Moon,Movie,No,2021-07-16,9,35,2021
The Unforgivable,2022-01-02,10,-,5,The Unforgivable,Movie,Yes,2021-12-10,22,171,2022
The Vanished,2021-02-01,9,9,10,The Vanished,Movie,No,2021-01-15,12,24,2021
The Vault,2021-08-12,10,10,4,The Vault,Movie,No,2021-07-31,12,53,2021
The Weekend Away,2022-03-09,9,7,-,The Weekend Away,Movie,Yes,2022-03-03,6,28,2022
The White Tiger,2021-01-25,5,6,-,The White Tiger,Movie,Yes,2021-01-22,2,11,2021
The Willoughbys,2020-05-02,7,7,2,The Willoughbys,Movie,Yes,2020-04-22,10,66,2020
The Witcher: Nightmare of t…,2021-08-25,9,9,-,The Witcher: Nightmare of t…,Movie,Yes,2021-08-23,2,4,2021
The Woman in the Window,2021-05-25,3,3,1,The Woman in the Window,Movie,Yes,2021-05-14,11,100,2021
The Wrong Missy,2020-05-27,10,7,2,The Wrong Missy,Movie,Yes,2020-05-13,14,103,2020
Thereâs Someone Inside Your…,2021-10-11,6,6,-,Thereâs Someone Inside Your…,Movie,Yes,2021-10-06,5,26,2021
Things Heard & Seen,2021-05-06,8,8,-,Things Heard & Seen,Movie,Yes,2021-04-29,7,43,2021
Thunder Force,2021-04-26,8,8,4,Thunder Force,Movie,Yes,2021-04-09,16,112,2021
Titanic,2021-10-11,7,7,-,Titanic,Movie,No,2021-10-01,7,20,2021
To All the Boys Always and …,2021-02-19,8,7,-,To All the Boys Always and …,Movie,Yes,2021-02-12,7,47,2021
Training Day,2021-03-11,10,5,-,Training Day,Movie,No,2021-03-01,7,30,2021
Transformers: Revenge of th…,2022-02-04,8,9,-,Transformers: Revenge of th…,Movie,No,2022-02-01,3,9,2022
Tremors: Shrieker Island,2020-10-23,7,6,-,Tremors: Shrieker Island,Movie,No,2020-10-20,3,11,2020
Triple 9,2020-12-14,10,5,-,Triple 9,Movie,No,2020-12-08,6,29,2020
Trollhunters: Rise of the T…,2021-07-23,9,-,-,Trollhunters: Rise of the T…,Movie,Yes,2021-07-21,1,2,2021
Twilight,2021-07-24,4,4,7,Twilight,Movie,No,2015-03-02,8,55,2021
Tyler Perryâs A Madea Homec…,2022-03-08,10,7,3,Tyler Perryâs A Madea Homec…,Movie,Yes,2022-02-25,11,70,2022
Uncorked,2020-04-01,10,9,-,Uncorked,Movie,Yes,2020-03-27,4,15,2020
Uncut Gems,2020-06-04,9,9,2,Uncut Gems,Movie,No,2020-05-25,10,69,2020
Unknown,2021-01-10,10,-,3,Unknown,Movie,No,2021-01-01,7,38,2021
Vivo,2021-09-30,7,-,-,Vivo,Movie,Yes,2021-08-06,29,166,2021
War Dogs,2021-02-16,7,5,7,War Dogs,Movie,No,2021-02-08,8,44,2021
We Can Be Heroes,2021-01-18,10,9,5,We Can Be Heroes,Movie,Yes,2020-12-25,24,144,2021
Welcome Home Roscoe Jenkins,2021-09-08,9,8,-,Welcome Home Roscoe Jenkins,Movie,No,2021-09-01,7,28,2021
Welcome to Sudden Death,2020-10-05,9,7,-,Welcome to Sudden Death,Movie,No,2020-09-29,5,20,2020
What Lies Below,2021-04-12,9,6,3,What Lies Below,Movie,No,2021-04-04,8,61,2021
White Boy,2021-04-05,9,8,-,White Boy,Movie,No,2021-04-01,2,5,2021
White Christmas,2021-12-25,10,-,-,White Christmas,Movie,No,2020-11-15,1,1,2021
Why Did You Kill Me?,2021-04-22,10,7,3,Why Did You Kill Me?,Movie,Yes,2021-04-14,8,50,2021
Wish Dragon,2021-07-02,10,9,6,Wish Dragon,Movie,Yes,2021-06-11,21,125,2021
Work It,2020-08-14,8,6,-,Work It,Movie,Yes,2020-08-07,7,43,2020
Worth,2021-09-10,10,9,-,Worth,Movie,Yes,2021-09-03,5,14,2021
Xtreme,2021-06-09,8,8,-,Xtreme,Movie,Yes,2021-06-04,4,12,2021
Yes Day,2021-03-28,3,4,1,Yes Day,Movie,Yes,2021-03-12,15,126,2021
"Yes, God, Yes",2020-10-26,10,10,-,"Yes, God, Yes",Movie,No,2020-10-22,4,11,2020
Yogi Bear,2020-10-06,10,8,-,Yogi Bear,Movie,No,2020-10-01,4,8,2020
Your Highness,2021-05-04,9,-,-,Your Highness,Movie,No,2021-05-01,1,2,2021
Zookeeper,2020-08-02,7,8,-,Zookeeper,Movie,No,2020-07-26,3,9,2020
